2026/08/27 14:14:24.101, 1492 MHz, 32.65 W, 175.00 W, 51, 14250 MiB
2026/08/27 14:14:25.103, 2152 MHz, 87.15 W, 175.00 W, 56, 14260 MiB
2026/08/27 14:14:26.104, 2115 MHz, 160.60 W, 175.00 W, 60, 14260 MiB
2026/08/27 14:14:27.105, 2085 MHz, 159.74 W, 175.00 W, 61, 14260 MiB
2026/08/27 14:14:28.106, 2085 MHz, 158.84 W, 175.00 W, 61, 14260 MiB
2026/08/27 14:14:29.107, 2092 MHz, 160.49 W, 175.00 W, 62, 14260 MiB
2026/08/27 14:14:30.108, 2092 MHz, 159.18 W, 175.00 W, 62, 14260 MiB
2026/08/27 14:14:31.109, 2092 MHz, 159.07 W, 175.00 W, 63, 14260 MiB
2026/08/27 14:14:32.111, 2100 MHz, 161.32 W, 175.00 W, 63, 14260 MiB
2026/08/27 14:14:33.112, 2092 MHz, 160.80 W, 175.00 W, 63, 14260 MiB
2026/08/27 14:14:34.113, 2070 MHz, 160.45 W, 175.00 W, 64, 14260 MiB
2026/08/27 14:14:35.114, 2085 MHz, 160.51 W, 175.00 W, 65, 14260 MiB
2026/08/27 14:14:36.116, 2115 MHz, 161.00 W, 175.00 W, 65, 14260 MiB
2026/08/27 14:14:37.117, 2047 MHz, 159.26 W, 175.00 W, 65, 14260 MiB
2026/08/27 14:14:38.118, 2115 MHz, 161.10 W, 175.00 W, 66, 14260 MiB
2026/08/27 14:14:39.120, 2107 MHz, 161.61 W, 175.00 W, 66, 14260 MiB
2026/08/27 14:14:40.121, 2092 MHz, 161.17 W, 175.00 W, 66, 14260 MiB
2026/08/27 14:14:41.122, 2092 MHz, 161.23 W, 175.00 W, 67, 14260 MiB
2026/08/27 14:14:42.123, 2032 MHz, 159.88 W, 175.00 W, 66, 14260 MiB
2026/08/27 14:14:43.124, 2077 MHz, 160.61 W, 175.00 W, 68, 14260 MiB
2026/08/27 14:14:44.125, 2182 MHz, 158.06 W, 175.00 W, 68, 14260 MiB
2026/08/27 14:14:45.127, 1275 MHz, 136.89 W, 175.00 W, 65, 14260 MiB
2026/08/27 14:14:46.129, 2100 MHz, 132.51 W, 175.00 W, 68, 14260 MiB
2026/08/27 14:14:47.130, 2182 MHz, 156.54 W, 175.00 W, 68, 14260 MiB
2026/08/27 14:14:48.131, 2085 MHz, 159.78 W, 175.00 W, 69, 14260 MiB
2026/08/27 14:14:49.132, 2085 MHz, 160.57 W, 175.00 W, 69, 14260 MiB
2026/08/27 14:14:50.133, 2092 MHz, 157.76 W, 175.00 W, 68, 14260 MiB
2026/08/27 14:14:51.135, 2115 MHz, 156.40 W, 175.00 W, 69, 14260 MiB
2026/08/27 14:14:52.136, 2182 MHz, 158.50 W, 175.00 W, 69, 14260 MiB
2026/08/27 14:14:53.137, 2175 MHz, 158.61 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:14:54.138, 2160 MHz, 158.40 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:14:55.139, 2100 MHz, 159.37 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:14:56.141, 2107 MHz, 159.92 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:14:57.142, 2115 MHz, 158.00 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:14:58.143, 2190 MHz, 157.74 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:14:59.144, 2190 MHz, 160.08 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:15:00.146, 2182 MHz, 161.04 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:15:01.147, 2107 MHz, 160.37 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:15:02.148, 2107 MHz, 159.80 W, 175.00 W, 70, 14260 MiB
2026/08/27 14:15:03.149, 2100 MHz, 158.60 W, 175.00 W, 71, 14260 MiB
2026/08/27 14:15:04.150, 2160 MHz, 160.51 W, 175.00 W, 71, 14260 MiB
2026/08/27 14:15:05.151, 2100 MHz, 160.28 W, 175.00 W, 71, 14260 MiB
2026/08/27 14:15:06.152, 2070 MHz, 111.62 W, 175.00 W, 69, 14262 MiB
2026/08/27 14:15:07.153, 2190 MHz, 159.43 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:08.154, 2152 MHz, 160.21 W, 175.00 W, 71, 14262 MiB
2026/08/27 14:15:09.156, 2100 MHz, 159.56 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:10.157, 2100 MHz, 160.33 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:11.158, 2085 MHz, 158.57 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:12.159, 2182 MHz, 160.06 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:13.160, 2182 MHz, 160.32 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:14.161, 2085 MHz, 163.41 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:15.162, 2122 MHz, 159.65 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:16.164, 2182 MHz, 159.37 W, 175.00 W, 73, 14262 MiB
2026/08/27 14:15:17.165, 2190 MHz, 159.34 W, 175.00 W, 73, 14262 MiB
2026/08/27 14:15:18.166, 2137 MHz, 159.84 W, 175.00 W, 73, 14262 MiB
2026/08/27 14:15:19.167, 2002 MHz, 160.86 W, 175.00 W, 72, 14262 MiB
2026/08/27 14:15:20.168, 2182 MHz, 160.26 W, 175.00 W, 73, 14262 MiB
2026/08/27 14:15:21.169, 2145 MHz, 161.55 W, 175.00 W, 73, 14262 MiB
2026/08/27 14:15:22.170, 2100 MHz, 161.48 W, 175.00 W, 73, 14262 MiB
2026/08/27 14:15:23.171, 2092 MHz, 161.80 W, 175.00 W, 73, 14262 MiB
2026/08/27 14:15:24.172, 2167 MHz, 159.42 W, 175.00 W, 73, 14262 MiB
2026/08/27 14:15:25.173, 2107 MHz, 162.48 W, 175.00 W, 73, 14262 MiB
