2026/08/27 14:18:13.389, 1755 MHz, 33.38 W, 175.00 W, 53, 13600 MiB
2026/08/27 14:18:14.390, 1837 MHz, 94.93 W, 175.00 W, 53, 13610 MiB
2026/08/27 14:18:15.391, 2145 MHz, 159.44 W, 175.00 W, 60, 13610 MiB
2026/08/27 14:18:16.393, 2130 MHz, 156.21 W, 175.00 W, 61, 13610 MiB
2026/08/27 14:18:17.394, 2122 MHz, 157.53 W, 175.00 W, 61, 13610 MiB
2026/08/27 14:18:18.395, 2115 MHz, 157.74 W, 175.00 W, 62, 13610 MiB
2026/08/27 14:18:19.396, 2130 MHz, 158.00 W, 175.00 W, 62, 13610 MiB
2026/08/27 14:18:20.397, 2062 MHz, 154.57 W, 175.00 W, 63, 13610 MiB
2026/08/27 14:18:21.398, 2122 MHz, 158.86 W, 175.00 W, 63, 13610 MiB
2026/08/27 14:18:22.399, 2122 MHz, 159.21 W, 175.00 W, 64, 13610 MiB
2026/08/27 14:18:23.400, 2130 MHz, 159.32 W, 175.00 W, 64, 13610 MiB
2026/08/27 14:18:24.401, 2100 MHz, 157.86 W, 175.00 W, 64, 13610 MiB
2026/08/27 14:18:25.403, 2115 MHz, 158.29 W, 175.00 W, 65, 13610 MiB
2026/08/27 14:18:26.404, 2115 MHz, 157.20 W, 175.00 W, 65, 13610 MiB
2026/08/27 14:18:27.406, 2130 MHz, 158.51 W, 175.00 W, 65, 13610 MiB
2026/08/27 14:18:28.407, 2115 MHz, 156.94 W, 175.00 W, 65, 13610 MiB
2026/08/27 14:18:29.408, 2122 MHz, 158.13 W, 175.00 W, 66, 13610 MiB
2026/08/27 14:18:30.409, 2115 MHz, 158.89 W, 175.00 W, 66, 13610 MiB
2026/08/27 14:18:31.411, 2122 MHz, 159.25 W, 175.00 W, 66, 13610 MiB
2026/08/27 14:18:32.412, 2122 MHz, 159.01 W, 175.00 W, 67, 13610 MiB
2026/08/27 14:18:33.414, 2122 MHz, 154.84 W, 175.00 W, 67, 13610 MiB
2026/08/27 14:18:34.416, 2115 MHz, 159.02 W, 175.00 W, 67, 13610 MiB
2026/08/27 14:18:35.417, 795 MHz, 125.18 W, 175.00 W, 61, 13610 MiB
2026/08/27 14:18:36.418, 2122 MHz, 159.32 W, 175.00 W, 68, 13610 MiB
2026/08/27 14:18:37.419, 2130 MHz, 159.94 W, 175.00 W, 68, 13610 MiB
2026/08/27 14:18:38.420, 2002 MHz, 156.55 W, 175.00 W, 68, 13610 MiB
2026/08/27 14:18:39.422, 2115 MHz, 159.34 W, 175.00 W, 68, 13610 MiB
2026/08/27 14:18:40.423, 2115 MHz, 159.54 W, 175.00 W, 68, 13610 MiB
2026/08/27 14:18:41.424, 2122 MHz, 158.69 W, 175.00 W, 69, 13610 MiB
2026/08/27 14:18:42.425, 2107 MHz, 159.40 W, 175.00 W, 69, 13610 MiB
2026/08/27 14:18:43.426, 2115 MHz, 159.03 W, 175.00 W, 69, 13610 MiB
2026/08/27 14:18:44.427, 2122 MHz, 159.85 W, 175.00 W, 69, 13610 MiB
2026/08/27 14:18:45.428, 2122 MHz, 159.87 W, 175.00 W, 69, 13610 MiB
2026/08/27 14:18:46.429, 2115 MHz, 159.45 W, 175.00 W, 70, 13610 MiB
2026/08/27 14:18:47.430, 2100 MHz, 157.48 W, 175.00 W, 70, 13610 MiB
2026/08/27 14:18:48.431, 2115 MHz, 160.28 W, 175.00 W, 70, 13610 MiB
2026/08/27 14:18:49.433, 2122 MHz, 161.62 W, 175.00 W, 70, 13610 MiB
2026/08/27 14:18:50.434, 2107 MHz, 161.29 W, 175.00 W, 70, 13610 MiB
2026/08/27 14:18:51.435, 2107 MHz, 161.22 W, 175.00 W, 70, 13610 MiB
2026/08/27 14:18:52.436, 2100 MHz, 159.84 W, 175.00 W, 70, 13610 MiB
2026/08/27 14:18:53.438, 2092 MHz, 161.11 W, 175.00 W, 71, 13610 MiB
2026/08/27 14:18:54.439, 2115 MHz, 160.53 W, 175.00 W, 71, 13610 MiB
2026/08/27 14:18:55.441, 2122 MHz, 162.64 W, 175.00 W, 71, 13610 MiB
2026/08/27 14:18:56.442, 1207 MHz, 120.20 W, 175.00 W, 65, 13612 MiB
2026/08/27 14:18:57.443, 2100 MHz, 159.66 W, 175.00 W, 71, 13612 MiB
2026/08/27 14:18:58.444, 2122 MHz, 161.15 W, 175.00 W, 72, 13612 MiB
2026/08/27 14:18:59.446, 2115 MHz, 161.13 W, 175.00 W, 72, 13612 MiB
2026/08/27 14:19:00.447, 2122 MHz, 161.99 W, 175.00 W, 72, 13612 MiB
2026/08/27 14:19:01.448, 2115 MHz, 161.61 W, 175.00 W, 72, 13612 MiB
2026/08/27 14:19:02.450, 2092 MHz, 158.17 W, 175.00 W, 71, 13612 MiB
2026/08/27 14:19:03.451, 2100 MHz, 160.79 W, 175.00 W, 72, 13612 MiB
2026/08/27 14:19:04.453, 2107 MHz, 161.50 W, 175.00 W, 72, 13612 MiB
2026/08/27 14:19:05.454, 2197 MHz, 157.79 W, 175.00 W, 73, 13612 MiB
2026/08/27 14:19:06.455, 2107 MHz, 162.44 W, 175.00 W, 73, 13612 MiB
2026/08/27 14:19:07.456, 2062 MHz, 159.74 W, 175.00 W, 73, 13612 MiB
2026/08/27 14:19:08.457, 2122 MHz, 162.05 W, 175.00 W, 73, 13612 MiB
2026/08/27 14:19:09.458, 2122 MHz, 160.97 W, 175.00 W, 73, 13612 MiB
2026/08/27 14:19:10.459, 2220 MHz, 158.34 W, 175.00 W, 74, 13612 MiB
2026/08/27 14:19:11.461, 2122 MHz, 162.72 W, 175.00 W, 74, 13612 MiB
2026/08/27 14:19:12.462, 2062 MHz, 161.91 W, 175.00 W, 73, 13612 MiB
2026/08/27 14:19:13.464, 2107 MHz, 162.77 W, 175.00 W, 74, 13612 MiB
2026/08/27 14:19:14.466, 2122 MHz, 163.00 W, 175.00 W, 74, 13612 MiB
2026/08/27 14:19:15.467, 2130 MHz, 162.26 W, 175.00 W, 74, 13612 MiB
2026/08/27 14:19:16.470, 2205 MHz, 159.91 W, 175.00 W, 74, 13612 MiB
