2026/08/27 14:16:17.744, 1492 MHz, 32.00 W, 175.00 W, 51, 14112 MiB
2026/08/27 14:16:18.746, 1770 MHz, 87.36 W, 175.00 W, 55, 14122 MiB
2026/08/27 14:16:19.747, 2152 MHz, 159.44 W, 175.00 W, 59, 14122 MiB
2026/08/27 14:16:20.748, 2137 MHz, 157.49 W, 175.00 W, 60, 14122 MiB
2026/08/27 14:16:21.749, 2070 MHz, 155.54 W, 175.00 W, 60, 14122 MiB
2026/08/27 14:16:22.750, 2130 MHz, 157.98 W, 175.00 W, 61, 14122 MiB
2026/08/27 14:16:23.751, 2130 MHz, 158.25 W, 175.00 W, 61, 14122 MiB
2026/08/27 14:16:24.752, 2130 MHz, 157.02 W, 175.00 W, 62, 14122 MiB
2026/08/27 14:16:25.753, 2107 MHz, 157.76 W, 175.00 W, 62, 14122 MiB
2026/08/27 14:16:26.754, 2122 MHz, 159.19 W, 175.00 W, 63, 14122 MiB
2026/08/27 14:16:27.755, 2130 MHz, 159.77 W, 175.00 W, 63, 14122 MiB
2026/08/27 14:16:28.756, 2122 MHz, 159.06 W, 175.00 W, 63, 14122 MiB
2026/08/27 14:16:29.758, 2100 MHz, 157.79 W, 175.00 W, 64, 14122 MiB
2026/08/27 14:16:30.759, 2085 MHz, 157.69 W, 175.00 W, 64, 14122 MiB
2026/08/27 14:16:31.760, 2130 MHz, 159.33 W, 175.00 W, 65, 14122 MiB
2026/08/27 14:16:32.761, 2130 MHz, 159.15 W, 175.00 W, 65, 14122 MiB
2026/08/27 14:16:33.763, 2122 MHz, 159.08 W, 175.00 W, 65, 14122 MiB
2026/08/27 14:16:34.764, 2100 MHz, 158.30 W, 175.00 W, 66, 14122 MiB
2026/08/27 14:16:35.766, 2130 MHz, 158.24 W, 175.00 W, 66, 14122 MiB
2026/08/27 14:16:36.766, 2115 MHz, 159.12 W, 175.00 W, 66, 14122 MiB
2026/08/27 14:16:37.768, 2137 MHz, 159.28 W, 175.00 W, 66, 14122 MiB
2026/08/27 14:16:38.768, 2130 MHz, 160.32 W, 175.00 W, 67, 14122 MiB
2026/08/27 14:16:39.770, 1387 MHz, 122.28 W, 175.00 W, 67, 14122 MiB
2026/08/27 14:16:40.771, 2100 MHz, 157.65 W, 175.00 W, 67, 14122 MiB
2026/08/27 14:16:41.772, 2122 MHz, 159.01 W, 175.00 W, 67, 14122 MiB
2026/08/27 14:16:42.773, 2115 MHz, 159.41 W, 175.00 W, 67, 14122 MiB
2026/08/27 14:16:43.774, 2115 MHz, 159.70 W, 175.00 W, 68, 14122 MiB
2026/08/27 14:16:44.775, 2122 MHz, 158.61 W, 175.00 W, 68, 14122 MiB
2026/08/27 14:16:45.776, 2092 MHz, 157.07 W, 175.00 W, 67, 14122 MiB
2026/08/27 14:16:46.777, 2115 MHz, 160.27 W, 175.00 W, 68, 14122 MiB
2026/08/27 14:16:47.778, 2115 MHz, 160.28 W, 175.00 W, 69, 14122 MiB
2026/08/27 14:16:48.780, 2107 MHz, 160.07 W, 175.00 W, 69, 14122 MiB
2026/08/27 14:16:49.781, 2107 MHz, 159.43 W, 175.00 W, 69, 14122 MiB
2026/08/27 14:16:50.783, 2122 MHz, 160.37 W, 175.00 W, 69, 14122 MiB
2026/08/27 14:16:51.784, 2092 MHz, 159.45 W, 175.00 W, 69, 14122 MiB
2026/08/27 14:16:52.785, 2115 MHz, 161.35 W, 175.00 W, 70, 14122 MiB
2026/08/27 14:16:53.787, 2107 MHz, 160.04 W, 175.00 W, 69, 14122 MiB
2026/08/27 14:16:54.788, 2115 MHz, 161.28 W, 175.00 W, 70, 14122 MiB
2026/08/27 14:16:55.789, 2107 MHz, 160.94 W, 175.00 W, 70, 14122 MiB
2026/08/27 14:16:56.790, 2115 MHz, 161.37 W, 175.00 W, 70, 14122 MiB
2026/08/27 14:16:57.791, 2115 MHz, 161.28 W, 175.00 W, 70, 14122 MiB
2026/08/27 14:16:58.792, 2107 MHz, 159.76 W, 175.00 W, 71, 14122 MiB
2026/08/27 14:16:59.793, 2122 MHz, 161.90 W, 175.00 W, 71, 14122 MiB
2026/08/27 14:17:00.794, 1440 MHz, 123.26 W, 175.00 W, 71, 14124 MiB
2026/08/27 14:17:01.795, 2115 MHz, 161.38 W, 175.00 W, 70, 14124 MiB
2026/08/27 14:17:02.796, 2100 MHz, 159.46 W, 175.00 W, 70, 14124 MiB
2026/08/27 14:17:03.797, 2122 MHz, 161.62 W, 175.00 W, 71, 14124 MiB
2026/08/27 14:17:04.798, 2122 MHz, 161.67 W, 175.00 W, 71, 14124 MiB
2026/08/27 14:17:05.799, 2160 MHz, 157.97 W, 175.00 W, 71, 14124 MiB
2026/08/27 14:17:06.800, 2122 MHz, 160.67 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:07.801, 2122 MHz, 162.05 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:08.802, 2115 MHz, 161.04 W, 175.00 W, 71, 14124 MiB
2026/08/27 14:17:09.803, 2107 MHz, 161.57 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:10.804, 2115 MHz, 162.26 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:11.805, 2235 MHz, 158.28 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:12.806, 2092 MHz, 159.48 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:13.807, 2115 MHz, 161.91 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:14.808, 2115 MHz, 162.65 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:15.809, 2107 MHz, 162.40 W, 175.00 W, 72, 14124 MiB
2026/08/27 14:17:16.810, 2122 MHz, 162.64 W, 175.00 W, 73, 14124 MiB
2026/08/27 14:17:17.811, 2122 MHz, 162.71 W, 175.00 W, 73, 14124 MiB
2026/08/27 14:17:18.812, 2107 MHz, 161.60 W, 175.00 W, 73, 14124 MiB
2026/08/27 14:17:19.813, 2107 MHz, 162.26 W, 175.00 W, 73, 14124 MiB
2026/08/27 14:17:20.814, 2122 MHz, 163.33 W, 175.00 W, 73, 14124 MiB
