ts	config	prompt	ttft_s	decode_tps	completion_tokens	peak_vram_mib	pwr_limit_w	peak_draw_w	max_temp_c
2026-08-27T14:06:17-04:00	baseline_32k_q8kv	prose	0.371	39.92	800	13388	175.0	161.9	67
2026-08-27T14:06:17-04:00	baseline_32k_q8kv	code	0.378	39.80	800	13388	175.0	161.9	67
2026-08-27T14:06:17-04:00	baseline_32k_q8kv	json	0.41	39.72	800	13388	175.0	161.9	67
2026-08-27T14:07:46-04:00	mtp_32k_q8kv	prose	0.391	58.36	800	15216	175.0	174.9	69
2026-08-27T14:07:46-04:00	mtp_32k_q8kv	code	0.407	85.00	800	15216	175.0	174.9	69
2026-08-27T14:07:46-04:00	mtp_32k_q8kv	json	0.416	82.40	800	15216	175.0	174.9	69
2026-08-27T14:09:41-04:00	ngrammod_32k_q8kv	prose	0.355	39.70	800	13388	175.0	164.4	72
2026-08-27T14:09:41-04:00	ngrammod_32k_q8kv	code	0.379	39.58	800	13388	175.0	164.4	72
2026-08-27T14:09:41-04:00	ngrammod_32k_q8kv	json	0.387	39.41	800	13388	175.0	164.4	72
2026-08-27T14:11:36-04:00	ngramsimple_32k_q8kv	prose	0.359	39.65	800	13390	175.0	193.8	73
2026-08-27T14:11:36-04:00	ngramsimple_32k_q8kv	code	0.377	39.01	800	13390	175.0	193.8	73
2026-08-27T14:11:36-04:00	ngramsimple_32k_q8kv	json	0.389	38.18	800	13390	175.0	193.8	73
2026-08-27T14:13:32-04:00	ngrammapk_32k_q8kv	prose	0.369	39.63	800	13388	175.0	161.9	72
2026-08-27T14:13:32-04:00	ngrammapk_32k_q8kv	code	0.382	39.14	800	13388	175.0	161.9	72
2026-08-27T14:13:32-04:00	ngrammapk_32k_q8kv	json	0.396	37.51	800	13388	175.0	161.9	72
2026-08-27T14:15:26-04:00	baseline_32k_f16kv	prose	0.358	40.08	800	14262	175.0	163.4	73
2026-08-27T14:15:26-04:00	baseline_32k_f16kv	code	0.402	39.84	800	14262	175.0	163.4	73
2026-08-27T14:15:26-04:00	baseline_32k_f16kv	json	0.407	39.73	800	14262	175.0	163.4	73
2026-08-27T14:17:21-04:00	baseline_64k_q8k_q4v	prose	0.355	38.98	800	14124	175.0	163.3	73
2026-08-27T14:17:21-04:00	baseline_64k_q8k_q4v	code	0.367	38.77	800	14124	175.0	163.3	73
2026-08-27T14:17:21-04:00	baseline_64k_q8k_q4v	json	0.374	38.74	800	14124	175.0	163.3	73
2026-08-27T14:19:17-04:00	baseline_64k_q4kv	prose	0.358	38.83	800	13612	175.0	163.0	74
2026-08-27T14:19:17-04:00	baseline_64k_q4kv	code	0.362	38.68	800	13612	175.0	163.0	74
2026-08-27T14:19:17-04:00	baseline_64k_q4kv	json	0.383	38.58	800	13612	175.0	163.0	74
