2026/08/27 14:35:11.781, 1492 MHz, 34.71 W, 175.00 W, 50, 15556 MiB
2026/08/27 14:35:12.783, 2235 MHz, 85.69 W, 175.00 W, 54, 15568 MiB
2026/08/27 14:35:13.784, 2377 MHz, 173.95 W, 175.00 W, 61, 15568 MiB
2026/08/27 14:35:14.786, 2340 MHz, 172.91 W, 175.00 W, 62, 15568 MiB
2026/08/27 14:35:15.787, 2302 MHz, 172.14 W, 175.00 W, 62, 15568 MiB
2026/08/27 14:35:16.788, 2280 MHz, 172.80 W, 175.00 W, 63, 15568 MiB
2026/08/27 14:35:17.789, 2265 MHz, 172.13 W, 175.00 W, 63, 15568 MiB
2026/08/27 14:35:18.790, 2220 MHz, 172.15 W, 175.00 W, 63, 15568 MiB
2026/08/27 14:35:19.792, 2385 MHz, 172.30 W, 175.00 W, 65, 15568 MiB
2026/08/27 14:35:20.793, 2272 MHz, 172.14 W, 175.00 W, 64, 15568 MiB
2026/08/27 14:35:21.794, 2272 MHz, 172.69 W, 175.00 W, 64, 15568 MiB
2026/08/27 14:35:22.795, 2280 MHz, 171.98 W, 175.00 W, 65, 15568 MiB
2026/08/27 14:35:23.796, 2265 MHz, 172.62 W, 175.00 W, 65, 15568 MiB
2026/08/27 14:35:24.798, 2257 MHz, 172.38 W, 175.00 W, 66, 15568 MiB
2026/08/27 14:35:25.799, 2257 MHz, 172.68 W, 175.00 W, 65, 15568 MiB
2026/08/27 14:35:26.799, 1365 MHz, 131.95 W, 175.00 W, 58, 15568 MiB
2026/08/27 14:35:27.801, 2265 MHz, 172.35 W, 175.00 W, 67, 15568 MiB
2026/08/27 14:35:28.802, 2280 MHz, 172.53 W, 175.00 W, 67, 15568 MiB
2026/08/27 14:35:29.803, 2280 MHz, 172.77 W, 175.00 W, 68, 15568 MiB
2026/08/27 14:35:30.805, 2257 MHz, 172.37 W, 175.00 W, 68, 15568 MiB
2026/08/27 14:35:31.806, 2257 MHz, 172.09 W, 175.00 W, 68, 15568 MiB
2026/08/27 14:35:32.807, 2272 MHz, 172.03 W, 175.00 W, 68, 15568 MiB
2026/08/27 14:35:33.808, 2250 MHz, 172.38 W, 175.00 W, 67, 15568 MiB
2026/08/27 14:35:34.810, 2235 MHz, 172.12 W, 175.00 W, 69, 15568 MiB
2026/08/27 14:35:35.811, 2242 MHz, 171.71 W, 175.00 W, 69, 15568 MiB
2026/08/27 14:35:36.812, 2242 MHz, 125.17 W, 175.00 W, 68, 15570 MiB
2026/08/27 14:35:37.813, 2295 MHz, 173.65 W, 175.00 W, 70, 15570 MiB
2026/08/27 14:35:38.815, 2242 MHz, 171.21 W, 175.00 W, 70, 15570 MiB
2026/08/27 14:35:39.816, 2220 MHz, 171.20 W, 175.00 W, 70, 15570 MiB
2026/08/27 14:35:40.817, 2197 MHz, 172.17 W, 175.00 W, 70, 15570 MiB
2026/08/27 14:35:41.818, 2220 MHz, 171.87 W, 175.00 W, 70, 15570 MiB
2026/08/27 14:35:42.820, 2235 MHz, 172.21 W, 175.00 W, 71, 15570 MiB
2026/08/27 14:35:43.821, 2220 MHz, 172.25 W, 175.00 W, 70, 15570 MiB
2026/08/27 14:35:44.822, 2212 MHz, 172.51 W, 175.00 W, 71, 15570 MiB
2026/08/27 14:35:45.823, 2212 MHz, 171.93 W, 175.00 W, 71, 15570 MiB
