2026/08/27 14:33:34.158, 1492 MHz, 36.32 W, 175.00 W, 49, 15940 MiB
2026/08/27 14:33:35.159, 2085 MHz, 80.58 W, 175.00 W, 50, 15952 MiB
2026/08/27 14:33:36.160, 2520 MHz, 155.60 W, 175.00 W, 59, 15952 MiB
2026/08/27 14:33:37.161, 2520 MHz, 160.15 W, 175.00 W, 61, 15952 MiB
2026/08/27 14:33:38.162, 2512 MHz, 159.45 W, 175.00 W, 61, 15952 MiB
2026/08/27 14:33:39.163, 2512 MHz, 159.87 W, 175.00 W, 60, 15952 MiB
2026/08/27 14:33:40.164, 2527 MHz, 156.58 W, 175.00 W, 62, 15952 MiB
2026/08/27 14:33:41.165, 2482 MHz, 158.69 W, 175.00 W, 63, 15952 MiB
2026/08/27 14:33:42.166, 2497 MHz, 159.48 W, 175.00 W, 63, 15952 MiB
2026/08/27 14:33:43.167, 2535 MHz, 161.89 W, 175.00 W, 64, 15952 MiB
2026/08/27 14:33:44.171, 2520 MHz, 161.84 W, 175.00 W, 62, 15952 MiB
2026/08/27 14:33:45.172, 2527 MHz, 159.03 W, 175.00 W, 64, 15952 MiB
2026/08/27 14:33:46.173, 2482 MHz, 158.62 W, 175.00 W, 65, 15952 MiB
2026/08/27 14:33:47.174, 2497 MHz, 158.63 W, 175.00 W, 65, 15952 MiB
2026/08/27 14:33:48.175, 2490 MHz, 159.46 W, 175.00 W, 66, 15952 MiB
2026/08/27 14:33:49.176, 2497 MHz, 160.29 W, 175.00 W, 64, 15952 MiB
2026/08/27 14:33:50.178, 2475 MHz, 160.73 W, 175.00 W, 64, 15952 MiB
2026/08/27 14:33:51.179, 2475 MHz, 161.74 W, 175.00 W, 64, 15952 MiB
2026/08/27 14:33:52.181, 2467 MHz, 161.39 W, 175.00 W, 65, 15952 MiB
2026/08/27 14:33:53.183, 2520 MHz, 161.35 W, 175.00 W, 65, 15952 MiB
2026/08/27 14:33:54.184, 1575 MHz, 115.38 W, 175.00 W, 59, 15952 MiB
2026/08/27 14:33:55.185, 2490 MHz, 161.18 W, 175.00 W, 66, 15952 MiB
2026/08/27 14:33:56.186, 2512 MHz, 161.06 W, 175.00 W, 65, 15952 MiB
2026/08/27 14:33:57.187, 2475 MHz, 161.51 W, 175.00 W, 65, 15952 MiB
2026/08/27 14:33:58.187, 2520 MHz, 161.32 W, 175.00 W, 66, 15952 MiB
2026/08/27 14:33:59.189, 2460 MHz, 161.62 W, 175.00 W, 66, 15952 MiB
2026/08/27 14:34:00.190, 2512 MHz, 162.74 W, 175.00 W, 67, 15952 MiB
2026/08/27 14:34:01.191, 2512 MHz, 162.08 W, 175.00 W, 67, 15952 MiB
2026/08/27 14:34:02.192, 2497 MHz, 159.48 W, 175.00 W, 69, 15952 MiB
2026/08/27 14:34:03.193, 2490 MHz, 160.75 W, 175.00 W, 70, 15952 MiB
2026/08/27 14:34:04.195, 2422 MHz, 157.62 W, 175.00 W, 67, 15952 MiB
2026/08/27 14:34:05.196, 2475 MHz, 162.34 W, 175.00 W, 68, 15952 MiB
2026/08/27 14:34:06.197, 2482 MHz, 162.10 W, 175.00 W, 69, 15952 MiB
2026/08/27 14:34:07.198, 1477 MHz, 123.07 W, 175.00 W, 62, 15954 MiB
2026/08/27 14:34:08.199, 2437 MHz, 160.19 W, 175.00 W, 70, 15954 MiB
2026/08/27 14:34:09.200, 2452 MHz, 158.83 W, 175.00 W, 68, 15954 MiB
2026/08/27 14:34:10.201, 2460 MHz, 161.18 W, 175.00 W, 69, 15954 MiB
2026/08/27 14:34:11.202, 2452 MHz, 161.38 W, 175.00 W, 68, 15954 MiB
2026/08/27 14:34:12.203, 2460 MHz, 162.71 W, 175.00 W, 68, 15954 MiB
2026/08/27 14:34:13.203, 2467 MHz, 163.04 W, 175.00 W, 69, 15954 MiB
2026/08/27 14:34:14.205, 2460 MHz, 162.34 W, 175.00 W, 68, 15954 MiB
2026/08/27 14:34:15.207, 2437 MHz, 157.96 W, 175.00 W, 71, 15954 MiB
2026/08/27 14:34:16.208, 2467 MHz, 162.32 W, 175.00 W, 71, 15954 MiB
2026/08/27 14:34:17.210, 2467 MHz, 162.88 W, 175.00 W, 71, 15954 MiB
2026/08/27 14:34:18.211, 2467 MHz, 163.15 W, 175.00 W, 71, 15954 MiB
2026/08/27 14:34:19.214, 2497 MHz, 162.58 W, 175.00 W, 70, 15954 MiB
