2026/08/27 14:12:28.459, 1530 MHz, 34.31 W, 175.00 W, 52, 13376 MiB
2026/08/27 14:12:29.462, 1890 MHz, 89.33 W, 175.00 W, 59, 13386 MiB
2026/08/27 14:12:30.463, 2137 MHz, 158.87 W, 175.00 W, 60, 13386 MiB
2026/08/27 14:12:31.464, 2085 MHz, 156.67 W, 175.00 W, 61, 13386 MiB
2026/08/27 14:12:32.465, 2070 MHz, 158.39 W, 175.00 W, 62, 13386 MiB
2026/08/27 14:12:33.466, 2092 MHz, 159.82 W, 175.00 W, 62, 13386 MiB
2026/08/27 14:12:34.468, 2100 MHz, 159.75 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:12:35.469, 2070 MHz, 157.18 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:12:36.470, 2070 MHz, 159.10 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:12:37.471, 2085 MHz, 159.80 W, 175.00 W, 64, 13386 MiB
2026/08/27 14:12:38.472, 2077 MHz, 160.07 W, 175.00 W, 64, 13386 MiB
2026/08/27 14:12:39.473, 2077 MHz, 159.83 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:12:40.474, 2085 MHz, 157.56 W, 175.00 W, 64, 13386 MiB
2026/08/27 14:12:41.475, 2070 MHz, 159.39 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:12:42.476, 2107 MHz, 160.72 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:12:43.477, 2107 MHz, 159.95 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:12:44.478, 2100 MHz, 160.63 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:12:45.480, 2085 MHz, 159.29 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:12:46.481, 2100 MHz, 160.33 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:12:47.482, 2092 MHz, 159.43 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:12:48.483, 2107 MHz, 159.65 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:12:49.484, 2092 MHz, 161.40 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:12:50.485, 457 MHz, 120.22 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:12:51.486, 2100 MHz, 160.14 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:12:52.487, 2092 MHz, 160.42 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:12:53.489, 2092 MHz, 160.69 W, 175.00 W, 68, 13386 MiB
2026/08/27 14:12:54.490, 2092 MHz, 160.91 W, 175.00 W, 68, 13386 MiB
2026/08/27 14:12:55.491, 2055 MHz, 158.76 W, 175.00 W, 68, 13386 MiB
2026/08/27 14:12:56.492, 2100 MHz, 142.29 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:12:57.492, 2100 MHz, 156.32 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:12:58.493, 2092 MHz, 152.46 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:12:59.494, 1905 MHz, 152.06 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:13:00.496, 2092 MHz, 161.10 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:13:01.497, 2092 MHz, 161.75 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:13:02.498, 2107 MHz, 158.67 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:13:03.499, 2092 MHz, 159.27 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:13:04.501, 2092 MHz, 160.85 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:13:05.502, 2175 MHz, 157.46 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:13:06.503, 2077 MHz, 161.92 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:13:07.504, 2167 MHz, 158.61 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:13:08.505, 2070 MHz, 161.11 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:13:09.506, 2115 MHz, 156.62 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:13:10.507, 2182 MHz, 140.70 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:13:11.508, 2100 MHz, 126.26 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:13:12.509, 2115 MHz, 160.53 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:13:13.510, 2092 MHz, 160.03 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:13:14.511, 1785 MHz, 154.31 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:13:15.512, 2167 MHz, 152.99 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:13:16.514, 1867 MHz, 152.14 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:13:17.515, 1792 MHz, 149.61 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:13:18.516, 2070 MHz, 155.59 W, 175.00 W, 72, 13388 MiB
2026/08/27 14:13:19.517, 2107 MHz, 150.75 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:13:20.518, 1852 MHz, 150.26 W, 175.00 W, 72, 13388 MiB
2026/08/27 14:13:21.519, 1845 MHz, 155.99 W, 175.00 W, 72, 13388 MiB
