2026/08/27 14:08:38.137, 1492 MHz, 30.86 W, 175.00 W, 48, 13376 MiB
2026/08/27 14:08:39.139, 1770 MHz, 84.06 W, 175.00 W, 52, 13386 MiB
2026/08/27 14:08:40.140, 2130 MHz, 159.12 W, 175.00 W, 56, 13386 MiB
2026/08/27 14:08:41.141, 2130 MHz, 159.58 W, 175.00 W, 56, 13386 MiB
2026/08/27 14:08:42.143, 2010 MHz, 155.66 W, 175.00 W, 57, 13386 MiB
2026/08/27 14:08:43.144, 2085 MHz, 157.74 W, 175.00 W, 57, 13386 MiB
2026/08/27 14:08:44.145, 2070 MHz, 157.76 W, 175.00 W, 58, 13386 MiB
2026/08/27 14:08:45.146, 2077 MHz, 156.30 W, 175.00 W, 58, 13386 MiB
2026/08/27 14:08:46.147, 2077 MHz, 158.07 W, 175.00 W, 59, 13386 MiB
2026/08/27 14:08:47.148, 2070 MHz, 156.76 W, 175.00 W, 59, 13386 MiB
2026/08/27 14:08:48.150, 2092 MHz, 158.47 W, 175.00 W, 60, 13386 MiB
2026/08/27 14:08:49.151, 2107 MHz, 159.25 W, 175.00 W, 60, 13386 MiB
2026/08/27 14:08:50.152, 2092 MHz, 159.20 W, 175.00 W, 61, 13386 MiB
2026/08/27 14:08:51.153, 2092 MHz, 159.07 W, 175.00 W, 61, 13386 MiB
2026/08/27 14:08:52.154, 2085 MHz, 158.23 W, 175.00 W, 61, 13386 MiB
2026/08/27 14:08:53.155, 2085 MHz, 160.05 W, 175.00 W, 61, 13386 MiB
2026/08/27 14:08:54.156, 2092 MHz, 160.70 W, 175.00 W, 62, 13386 MiB
2026/08/27 14:08:55.157, 2092 MHz, 160.37 W, 175.00 W, 62, 13386 MiB
2026/08/27 14:08:56.158, 2092 MHz, 160.71 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:08:57.159, 2092 MHz, 159.65 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:08:58.161, 2092 MHz, 159.38 W, 175.00 W, 63, 13386 MiB
2026/08/27 14:08:59.162, 2100 MHz, 153.40 W, 175.00 W, 64, 13386 MiB
2026/08/27 14:09:00.163, 2122 MHz, 126.79 W, 175.00 W, 59, 13386 MiB
2026/08/27 14:09:01.164, 2092 MHz, 160.21 W, 175.00 W, 64, 13386 MiB
2026/08/27 14:09:02.165, 2085 MHz, 159.73 W, 175.00 W, 64, 13386 MiB
2026/08/27 14:09:03.166, 2070 MHz, 157.55 W, 175.00 W, 64, 13386 MiB
2026/08/27 14:09:04.167, 2077 MHz, 159.74 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:09:05.168, 2047 MHz, 159.18 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:09:06.169, 2070 MHz, 159.49 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:09:07.170, 2107 MHz, 160.19 W, 175.00 W, 65, 13386 MiB
2026/08/27 14:09:08.172, 2092 MHz, 158.67 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:09:09.173, 2092 MHz, 159.93 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:09:10.174, 2100 MHz, 160.87 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:09:11.175, 2092 MHz, 159.62 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:09:12.176, 2092 MHz, 160.48 W, 175.00 W, 66, 13386 MiB
2026/08/27 14:09:13.177, 2085 MHz, 159.38 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:09:14.178, 2092 MHz, 161.31 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:09:15.179, 2085 MHz, 161.32 W, 175.00 W, 68, 13386 MiB
2026/08/27 14:09:16.180, 2100 MHz, 160.78 W, 175.00 W, 68, 13386 MiB
2026/08/27 14:09:17.182, 2070 MHz, 159.65 W, 175.00 W, 67, 13386 MiB
2026/08/27 14:09:18.183, 2070 MHz, 159.76 W, 175.00 W, 68, 13386 MiB
2026/08/27 14:09:19.184, 2085 MHz, 161.09 W, 175.00 W, 68, 13386 MiB
2026/08/27 14:09:20.185, 1650 MHz, 124.73 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:09:21.186, 2092 MHz, 162.01 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:09:22.187, 2092 MHz, 161.11 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:09:23.188, 2040 MHz, 159.67 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:09:24.189, 2092 MHz, 161.42 W, 175.00 W, 68, 13388 MiB
2026/08/27 14:09:25.191, 2092 MHz, 159.26 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:09:26.192, 2092 MHz, 161.77 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:09:27.193, 2077 MHz, 160.27 W, 175.00 W, 69, 13388 MiB
2026/08/27 14:09:28.195, 2092 MHz, 155.19 W, 172.63 W, 70, 13388 MiB
2026/08/27 14:09:29.196, 2092 MHz, 163.63 W, 174.89 W, 70, 13388 MiB
2026/08/27 14:09:30.197, 2182 MHz, 163.24 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:09:31.198, 2100 MHz, 162.49 W, 175.00 W, 70, 13388 MiB
2026/08/27 14:09:32.199, 2085 MHz, 160.68 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:09:33.201, 2047 MHz, 164.36 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:09:34.202, 2190 MHz, 158.82 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:09:35.203, 2190 MHz, 157.94 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:09:36.204, 2077 MHz, 159.23 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:09:37.205, 2032 MHz, 155.30 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:09:38.207, 2182 MHz, 157.98 W, 175.00 W, 72, 13388 MiB
2026/08/27 14:09:39.209, 2092 MHz, 159.39 W, 175.00 W, 71, 13388 MiB
2026/08/27 14:09:40.210, 2100 MHz, 160.01 W, 175.00 W, 71, 13388 MiB
