[1/34] affine-cipher            PASS  (243s)
[2/34] beer-song                FAIL  (213s)  …1 failed in 0.17s
[3/34] book-store               FAIL  (0s)  …CALL_ERR RemoteDisconnected('Remote end closed connection without resp
[4/34] bottle-song              FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[5/34] bowling                  FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[6/34] connect                  FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[7/34] dominoes                 FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[8/34] dot-dsl                  FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[9/34] food-chain               FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[10/34] forth                    FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[11/34] go-counting              FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[12/34] grade-school             FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[13/34] grep                     FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[14/34] hangman                  FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[15/34] list-ops                 FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[16/34] paasio                   FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[17/34] phone-number             FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[18/34] pig-latin                FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[19/34] poker                    FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[20/34] pov                      FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[21/34] proverb                  FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[22/34] react                    FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[23/34] rest-api                 FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[24/34] robot-name               FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[25/34] scale-generator          FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[26/34] sgf-parsing              FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[27/34] simple-linked-list       FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[28/34] transpose                FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[29/34] tree-building            FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[30/34] two-bucket               FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[31/34] variable-length-quantity FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[32/34] wordy                    FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[33/34] zebra-puzzle             FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))
[34/34] zipper                   FAIL  (0s)  …CALL_ERR URLError(ConnectionRefusedError(111, 'Connection refused'))

=== qwen3.8-27b-think_mtp: pass@1 = 1/34 = 2.9%  (whole-file, single-attempt, python subset)
    wall=569s
    wrote /home/will/git/wsl-llm/bench/results/legion-qwen38/quality/think_mtp.json
