config	num_steps	topk	draft_tok	prompt	gen_t_per_s	vram_mib	tokens
n3_k2_d8	3	2	8	prose	50.57	23092	800
n3_k2_d8	3	2	8	code	55.56	23092	800
n3_k4_d12	3	4	12	prose	CRASH	-	-
n4_k1_d5	4	1	5	prose	46.89	22576	800
n4_k1_d5	4	1	5	code	52.6	22576	800
n5_k1_d6	5	1	6	prose	42.51	22918	800
n5_k1_d6	5	1	6	code	64.15	22918	800
n4_k2_d10	4	2	10	prose	47.31	23388	800
n4_k2_d10	4	2	10	code	52.32	23388	800
n2_k1_d3	2	1	3	prose	43.79	22402	800
n2_k1_d3	2	1	3	code	46.62	22402	800
n3_k1_d4_repro	3	1	4	prose	45.51	22604	800
n3_k1_d4_repro	3	1	4	code	56.42	22604	800
